"행정구역","2026년04월_거주자 인구수","2026년04월_세대수","2026년04월_세대당 인구","2026년04월_남자 인구수","2026년04월_여자 인구수","2026년04월_남여 비율"
"경기도  (4100000000)","13,689,215","6,114,952","          2.24","6,869,455","6,819,760","          1.01"
"경기도 수원시 (4111000000)","1,180,895","540,792","          2.18","592,402","588,493","          1.01"
"경기도 수원시 장안구 (4111100000)","269,163","121,941","          2.21","134,887","134,276","          1.00"
"경기도 수원시 권선구 (4111300000)","359,082","165,276","          2.17","180,889","178,193","          1.02"
"경기도 수원시 팔달구 (4111500000)","191,929","97,685","          1.96","96,182","95,747","          1.00"
"경기도 수원시 영통구 (4111700000)","360,721","155,890","          2.31","180,444","180,277","          1.00"
"경기도 성남시 (4113000000)","899,060","406,421","          2.21","443,761","455,299","          0.97"
"경기도 성남시 수정구 (4113100000)","232,907","116,262","          2.00","117,561","115,346","          1.02"
"경기도 성남시 중원구 (4113300000)","200,669","98,555","          2.04","100,865","99,804","          1.01"
"경기도 성남시 분당구 (4113500000)","465,484","191,604","          2.43","225,335","240,149","          0.94"
"경기도 의정부시 (4115000000)","459,346","211,601","          2.17","225,135","234,211","          0.96"
"경기도 안양시 (4117000000)","560,007","238,850","          2.34","275,799","284,208","          0.97"
"경기도 안양시 만안구 (4117100000)","232,265","105,108","          2.21","115,473","116,792","          0.99"
"경기도 안양시 동안구 (4117300000)","327,742","133,742","          2.45","160,326","167,416","          0.96"
"경기도 부천시 (4119000000)","752,812","340,796","          2.21","370,289","382,523","          0.97"
"경기도 부천시 원미구 (4119200000)","380,986","173,409","          2.20","186,429","194,557","          0.96"
"경기도 부천시 소사구 (4119400000)","223,716","98,258","          2.28","109,338","114,378","          0.96"
"경기도 부천시 오정구 (4119600000)","148,110","69,129","          2.14","74,522","73,588","          1.01"
"경기도 광명시 (4121000000)","301,963","126,665","          2.38","147,802","154,161","          0.96"
"경기도 평택시 (4122000000)","613,662","294,933","          2.08","322,409","291,253","          1.11"
"경기도 동두천시 (4125000000)","85,618","43,215","          1.98","42,638","42,980","          0.99"
"경기도 안산시 (4127000000)","606,700","286,043","          2.12","310,377","296,323","          1.05"
"경기도 안산시 상록구 (4127100000)","319,321","150,581","          2.12","162,874","156,447","          1.04"
"경기도 안산시 단원구 (4127300000)","287,379","135,462","          2.12","147,503","139,876","          1.05"
"경기도 고양시 (4128000000)","1,051,628","463,503","          2.27","511,166","540,462","          0.95"
"경기도 고양시 덕양구 (4128100000)","481,199","217,576","          2.21","235,515","245,684","          0.96"
"경기도 고양시 일산동구 (4128500000)","295,481","132,515","          2.23","143,090","152,391","          0.94"
"경기도 고양시 일산서구 (4128700000)","274,948","113,412","          2.42","132,561","142,387","          0.93"
"경기도 과천시 (4129000000)","79,848","28,787","          2.77","38,880","40,968","          0.95"
"경기도 구리시 (4131000000)","185,986","82,004","          2.27","91,991","93,995","          0.98"
"경기도 남양주시 (4136000000)","725,040","306,981","          2.36","358,022","367,018","          0.98"
"경기도 오산시 (4137000000)","250,327","115,636","          2.16","130,465","119,862","          1.09"
"경기도 시흥시 (4139000000)","512,511","229,167","          2.24","266,568","245,943","          1.08"
"경기도 군포시 (4141000000)","248,987","111,035","          2.24","123,198","125,789","          0.98"
"경기도 의왕시 (4143000000)","162,301","66,880","          2.43","80,116","82,185","          0.97"
"경기도 하남시 (4145000000)","326,468","140,231","          2.33","161,871","164,597","          0.98"
"경기도 용인시 (4146000000)","1,085,176","447,300","          2.43","537,386","547,790","          0.98"
"경기도 용인시 처인구 (4146100000)","284,074","130,256","          2.18","145,329","138,745","          1.05"
"경기도 용인시 기흥구 (4146300000)","432,257","176,541","          2.45","212,629","219,628","          0.97"
"경기도 용인시 수지구 (4146500000)","368,845","140,503","          2.63","179,428","189,417","          0.95"
"경기도 파주시 (4148000000)","529,217","234,905","          2.25","266,327","262,890","          1.01"
"경기도 이천시 (4150000000)","222,799","107,281","          2.08","116,383","106,416","          1.09"
"경기도 안성시 (4155000000)","197,389","97,741","          2.02","102,004","95,385","          1.07"
"경기도 김포시 (4157000000)","482,150","206,598","          2.33","240,444","241,706","          0.99"
"경기도 화성시 (4159000000)","994,124","430,558","          2.31","514,984","479,140","          1.07"
"경기도 화성시 만세구 (4159100000)","234,030","115,989","          2.02","127,541","106,489","          1.20"
"경기도 화성시 효행구 (4159300000)","159,034","70,982","          2.24","82,025","77,009","          1.07"
"경기도 화성시 병점구 (4159500000)","174,120","75,046","          2.32","90,057","84,063","          1.07"
"경기도 화성시 동탄구 (4159700000)","426,940","168,541","          2.53","215,361","211,579","          1.02"
"경기도 광주시 (4161000000)","395,764","175,196","          2.26","201,306","194,458","          1.04"
"경기도 양주시 (4163000000)","295,788","132,274","          2.24","148,565","147,223","          1.01"
"경기도 포천시 (4165000000)","139,864","73,663","          1.90","74,004","65,860","          1.12"
"경기도 여주시 (4167000000)","113,253","56,777","          1.99","57,727","55,526","          1.04"
"경기도 연천군 (4180000000)","42,620","22,600","          1.89","22,326","20,294","          1.10"
"경기도 가평군 (4182000000)","61,734","33,014","          1.87","31,730","30,004","          1.06"
"경기도 양평군 (4183000000)","126,178","63,505","          1.99","63,380","62,798","          1.01"
