사업장명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업장면적,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
아르카나사주카페,강원특별자치도,인제군,강원특별자치도 인제군 상남면 김부대왕로 2338-44,,37.8810884657,128.2481392519,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
빽다방 인제원통점,강원특별자치도,인제군,"강원특별자치도 인제군 북면 원통로 190, 2호",,38.1236506873,128.204760978,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
할리스커피 4층 내린천휴게소점,강원특별자치도,인제군,"강원특별자치도 인제군 상남면 서울양양고속도로 117, 4층",,37.9175403488,128.2882704872,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
할리스커피 1층 내린천휴게소점,강원특별자치도,인제군,강원특별자치도 인제군 상남면 서울양양고속도로 117,,37.9175403488,128.2882704872,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
falls coffee(폴스커피),강원특별자치도,인제군,강원특별자치도 인제군 북면 황태길 375,,37.3595704,127.105399,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
하이오커피 인제합강점,강원특별자치도,인제군,"강원특별자치도 인제군 인제읍 인제로 254, 1층",,38.0716975956,128.1777111626,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
컴포즈 커피 인제점,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 비봉로 28,,38.0668374368,128.1735184702,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
카페 서저울,강원특별자치도,인제군,"강원특별자치도 인제군 북면 원통로 36, 1~2층",,38.1117068331,128.1977240897,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
버치포레스트,강원특별자치도,인제군,"강원특별자치도 인제군 인제읍 자작나무숲길 824-15, 2층",,38.0072703743,128.2001753883,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
선바위,강원특별자치도,인제군,강원특별자치도 인제군 북면 미시령로 1796,,38.2208459652,128.4029756536,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
자작나무숲카페,강원특별자치도,인제군,"강원특별자치도 인제군 인제읍 자작나무숲길 770, 2층",,38.0088626688,128.195096146,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
더벤티,강원특별자치도,인제군,"강원특별자치도 인제군 남면 신남로 23, 1층",,37.9659580842,128.0772828885,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
설약산,강원특별자치도,인제군,강원특별자치도 인제군 북면 어두원길 107,,38.1456356909,128.2300026237,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
빽다방 강원인제점,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 인제로 203,,38.069493583,128.1727141087,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
규움 카페,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 비봉로44번길 72,,38.0617896991,128.168043318,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
원대리 751 cafe,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 자작나무숲길 870-3,,38.0067181303,128.2065775367,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
주식회사 대양,강원특별자치도,인제군,강원특별자치도 인제군 북면 미시령로 631,,38.1836440469,128.2887055672,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
휴크닉 옥수수카페,강원특별자치도,인제군,강원특별자치도 인제군 기린면 서호길 54-1,,37.942234145,128.3078071986,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
베이커리카페 유기농제빵소,강원특별자치도,인제군,강원특별자치도 인제군 북면 금강로 5,,38.1213822895,128.2082367831,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
햇살마을,강원특별자치도,인제군,"강원특별자치도 인제군 남면 자작나무숲길 444-62, 하늘내린도리안공원",,38.0013873095,128.1624865121,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
백담역 카페,강원특별자치도,인제군,강원특별자치도 인제군 북면 만해로 390,,38.1946183111,128.3438096297,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
곰배령농산물&카페,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 오작로 63,,38.0143059483,128.3769205277,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
커피다,강원특별자치도,인제군,강원특별자치도 인제군 기린면 두루미길 7-48,,37.955912264,128.3440540608,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
프랭크버거 인제신남점,강원특별자치도,인제군,강원특별자치도 인제군 남면 신남로 17,,37.9655344844,128.07647581,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
류cafe,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 자작나무숲길 824-31,,38.0070587618,128.1983800333,,,강원특별자치도 인제군청,033-460-2770,2025-12-24,4331000,강원특별자치도 인제군
